"","Tree","All105","All10","NodeNo","Nodes1","Nodes2","NodesTie","TotalCost","RootState1","RootState2"
"1",1,TRUE,TRUE,367,367,0,0,16,1,0
"2",2,TRUE,TRUE,367,367,0,0,16,1,0
"3",3,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"4",4,TRUE,TRUE,367,356,11,0,11,0,1
"5",5,TRUE,TRUE,367,356,11,0,11,0,1
"6",6,TRUE,TRUE,367,353,14,0,14,0,1
"7",7,TRUE,TRUE,367,367,0,0,16,1,0
"8",8,TRUE,TRUE,367,354,13,0,13,0,1
"9",9,TRUE,TRUE,367,367,0,0,16,1,0
"10",10,TRUE,TRUE,367,367,0,0,16,1,0
"11",11,TRUE,TRUE,367,354,13,0,13,0,1
"12",12,TRUE,TRUE,367,356,11,0,11,0,1
"13",13,TRUE,TRUE,367,352,15,0,15,0,1
"14",14,TRUE,TRUE,367,352,15,0,15,0,1
"15",15,TRUE,TRUE,367,356,11,0,11,0,1
"16",16,TRUE,TRUE,367,367,0,0,16,1,0
"17",17,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"18",18,TRUE,TRUE,367,367,0,0,16,1,0
"19",19,TRUE,TRUE,367,355,12,0,12,0,1
"20",20,TRUE,TRUE,367,354,13,0,13,0,1
"21",21,TRUE,TRUE,367,367,0,0,16,1,0
"22",22,TRUE,TRUE,367,353,14,0,14,0,1
"23",23,TRUE,TRUE,367,367,0,0,16,1,0
"24",24,TRUE,TRUE,367,367,0,0,16,1,0
"25",25,TRUE,TRUE,367,352,15,0,15,0,1
"26",26,TRUE,TRUE,367,355,12,0,12,0,1
"27",27,TRUE,TRUE,367,367,0,0,16,1,0
"28",28,TRUE,TRUE,367,356,11,0,11,0,1
"29",29,TRUE,TRUE,367,367,0,0,16,1,0
"30",30,TRUE,TRUE,367,367,0,0,16,1,0
"31",31,TRUE,TRUE,367,367,0,0,16,1,0
"32",32,TRUE,TRUE,367,353,14,0,14,0,1
"33",33,TRUE,TRUE,367,353,14,0,14,0,1
"34",34,TRUE,TRUE,367,355,12,0,12,0,1
"35",35,TRUE,TRUE,367,353,14,0,14,0,1
"36",36,TRUE,TRUE,367,367,0,0,16,1,0
"37",37,TRUE,TRUE,367,353,14,0,14,0,1
"38",38,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"39",39,TRUE,TRUE,367,367,0,0,16,1,0
"40",40,TRUE,TRUE,367,367,0,0,16,1,0
"41",41,TRUE,TRUE,367,354,13,0,13,0,1
"42",42,TRUE,TRUE,367,355,12,0,12,0,1
"43",43,TRUE,TRUE,367,357,10,0,10,0,1
"44",44,TRUE,TRUE,367,354,13,0,13,0,1
"45",45,TRUE,TRUE,367,367,0,0,16,1,0
"46",46,TRUE,TRUE,367,356,11,0,11,0,1
"47",47,TRUE,TRUE,367,352,15,0,15,0,1
"48",48,TRUE,TRUE,367,352,15,0,15,0,1
"49",49,TRUE,TRUE,367,355,12,0,12,0,1
"50",50,TRUE,TRUE,367,356,11,0,11,0,1
"51",51,TRUE,TRUE,367,352,15,0,15,0,1
"52",52,TRUE,TRUE,367,367,0,0,16,1,0
"53",53,TRUE,TRUE,367,367,0,0,16,1,0
"54",54,TRUE,TRUE,367,367,0,0,16,1,0
"55",55,TRUE,TRUE,367,353,14,0,14,0,1
"56",56,TRUE,TRUE,367,367,0,0,16,1,0
"57",57,TRUE,TRUE,367,352,15,0,15,0,1
"58",58,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"59",59,TRUE,TRUE,367,367,0,0,16,1,0
"60",60,TRUE,TRUE,367,367,0,0,16,1,0
"61",61,TRUE,TRUE,367,367,0,0,16,1,0
"62",62,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"63",63,TRUE,TRUE,367,353,14,0,14,0,1
"64",64,TRUE,TRUE,367,367,0,0,16,1,0
"65",65,TRUE,TRUE,367,352,15,0,15,0,1
"66",66,TRUE,TRUE,367,355,12,0,12,0,1
"67",67,TRUE,TRUE,367,367,0,0,16,1,0
"68",68,TRUE,TRUE,367,367,0,0,16,1,0
"69",69,TRUE,TRUE,367,367,0,0,16,1,0
"70",70,TRUE,TRUE,367,367,0,0,16,1,0
"71",71,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"72",72,TRUE,TRUE,367,357,10,0,10,0,1
"73",73,TRUE,TRUE,367,367,0,0,16,1,0
"74",74,TRUE,TRUE,367,367,0,0,16,1,0
"75",75,TRUE,TRUE,367,367,0,0,16,1,0
"76",76,TRUE,TRUE,367,355,12,0,12,0,1
"77",77,TRUE,TRUE,367,367,0,0,16,1,0
"78",78,TRUE,TRUE,367,367,0,0,16,1,0
"79",79,TRUE,TRUE,367,367,0,0,16,1,0
"80",80,TRUE,TRUE,367,367,0,0,16,1,0
"81",81,TRUE,TRUE,367,357,10,0,10,0,1
"82",82,TRUE,TRUE,367,355,12,0,12,0,1
"83",83,TRUE,TRUE,367,356,11,0,11,0,1
"84",84,TRUE,TRUE,367,356,11,0,11,0,1
"85",85,TRUE,TRUE,367,367,0,0,16,1,0
"86",86,TRUE,TRUE,367,367,0,0,16,1,0
"87",87,TRUE,TRUE,367,355,12,0,12,0,1
"88",88,TRUE,TRUE,367,367,0,0,16,1,0
"89",89,TRUE,TRUE,367,367,0,0,16,1,0
"90",90,TRUE,TRUE,367,352,15,0,15,0,1
"91",91,TRUE,TRUE,367,353,14,0,14,0,1
"92",92,TRUE,TRUE,367,354,13,0,13,0,1
"93",93,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"94",94,TRUE,TRUE,367,352,15,0,15,0,1
"95",95,TRUE,TRUE,367,353,14,0,14,0,1
"96",96,TRUE,TRUE,367,367,0,0,16,1,0
"97",97,TRUE,TRUE,367,352,15,0,15,0,1
"98",98,TRUE,FALSE,367,351,0,16,16,0.5,0.5
"99",99,TRUE,TRUE,367,354,13,0,13,0,1
"100",100,TRUE,TRUE,367,367,0,0,16,1,0
"101",101,TRUE,TRUE,367,367,0,0,16,1,0
